domain,function,status,fitted_p,r_squared,C_obs,C_theory,C_ratio,ref_integral
Disk,Affine/Bilinear,Convergent,0.834,0.8008918963781604,1.4909033714866382,0.0,N/A,3.141592653589793
Disk,Oscillatory,Exact,Exact,N/A,0.0,25.83856390024985,N/A (exact),0.0
Disk,Quadratic,Convergent,1.876,0.937409074394558,1.6759595036855899,5.235987755982989,0.32,4.71238898038469
Disk,Near-Singular,Convergent,1.679,0.9604240129693898,1.1358888891991228,2.6179938779914944,0.43,2.8791320558576223
Square,Affine/Bilinear,Convergent,1.916,0.8427815179940277,0.09967105808755147,0.0,N/A,1.25
Square,Quadratic,Convergent,1.043,0.476867255952266,0.26570689101208694,0.8333333333333335,0.32,1.6666666666666667
L-Shape,Affine/Bilinear,Convergent,1.098,0.7591398774857605,1.7543712413153112,0.0,N/A,1.9375
L-Shape,Quadratic,Convergent,1.576,0.7193487677542527,3.213015139452181,5.000000000000001,0.64,3.375
